,foreign_gross,production_budget,net_profit,movie_title,domestic_gross,world_wide_gross_Profit,ROI,genre_ids,id,popularity,release_date,vote_average,vote_count,genres_labels
532,449100000.0,110000000.0,583698673.0,Gravity,274092705.0,693698673.0,530.6351572727273,"[878, 53, 18]",49047.0,27.836,2013-10-04,7.2,9586.0,"Science Fiction, Thriller, Drama"
533,377000000.0,225000000.0,442999518.0,Man of Steel,291045518.0,667999518.0,196.88867466666667,"[28, 12, 14, 878]",49521.0,27.667,2013-06-14,6.5,9758.0,"Action, Adventure, Fantasy, Science Fiction"
534,438200000.0,150000000.0,494602516.0,Thor: The Dark World,206362140.0,644602516.0,329.7350106666667,"[28, 12, 14]",76338.0,31.014,2013-11-08,6.7,10171.0,"Action, Adventure, Fantasy"
535,400000000.0,135000000.0,438068425.0,The Croods,187168425.0,573068425.0,324.4951296296296,"[28, 12, 16, 35, 10751, 14]",49519.0,16.29,2013-03-22,6.8,3873.0,"Action, Adventure, Animation, Comedy, Family, Fantasy"
536,337600000.0,190000000.0,341514650.0,World War Z,202359711.0,531514650.0,179.74455263157896,"[28, 18, 27, 878, 53]",72190.0,14.582,2013-06-21,6.7,9132.0,"Action, Drama, Horror, Science Fiction, Thriller"
537,238600000.0,190000000.0,277381584.0,Star Trek Into Darkness,228778661.0,467381584.0,145.99030736842104,"[28, 12, 878]",54138.0,20.487,2013-05-16,7.4,6182.0,"Action, Adventure, Science Fiction"
538,282300000.0,115000000.0,301456852.0,The Wolverine,132556852.0,416456852.0,262.1363930434783,"[28, 878, 12, 14]",76170.0,4.323,2013-07-25,6.3,6176.0,"Action, Science Fiction, Adventure, Fantasy"
539,309200000.0,190000000.0,221002906.0,Pacific Rim,101802906.0,411002906.0,116.31731894736843,"[28, 878, 12]",68726.0,16.759,2013-07-12,6.8,7632.0,"Action, Science Fiction, Adventure"
540,275100000.0,100000000.0,289870414.0,The Wolf of Wall Street,116900694.0,389870414.0,289.870414,"[80, 18, 35]",106646.0,29.518,2013-12-25,7.9,12411.0,"Crime, Drama, Comedy"
541,253200000.0,140000000.0,235740705.0,G.I. Joe: Retaliation,122523060.0,375740705.0,168.38621785714284,"[12, 28, 878, 53]",72559.0,15.065,2013-03-29,5.5,3883.0,"Adventure, Action, Science Fiction, Thriller"
542,234000000.0,75000000.0,267769200.0,Now You See Me,117723989.0,342769200.0,357.0256,"[53, 80]",75656.0,16.646,2013-05-31,7.4,9871.0,"Thriller, Crime"
543,276500000.0,110000000.0,238547523.0,The Smurfs 2,71017784.0,348547523.0,216.86138454545457,"[14, 10751, 35, 16]",77931.0,12.941,2013-07-31,5.7,1200.0,"Fantasy, Family, Comedy, Animation"
544,182100000.0,20000000.0,298000141.0,The Conjuring,137400141.0,318000141.0,1490.000705,"[27, 53]",138843.0,18.886,2013-07-19,7.5,5912.0,"Horror, Thriller"
545,237300000.0,92000000.0,212249198.0,A Good Day to Die Hard,67349198.0,304249198.0,230.70565,"[28, 53]",47964.0,15.858,2013-02-14,5.2,4437.0,"Action, Thriller"
546,197100000.0,120000000.0,167916633.0,Oblivion,89107235.0,287916633.0,139.93052749999998,"[28, 878, 12, 9648]",75612.0,18.534,2013-04-18,6.5,6850.0,"Action, Science Fiction, Adventure, Mystery"
547,193100000.0,120000000.0,166192091.0,Elysium,93050117.0,286192091.0,138.49340916666665,"[878, 28, 18, 53]",68724.0,17.663,2013-08-09,6.4,5406.0,"Science Fiction, Action, Drama, Thriller"
548,199500000.0,135000000.0,151896578.0,Turbo,83028130.0,286896578.0,112.51598370370371,"[16, 10751]",77950.0,14.876,2013-07-19,6.1,1758.0,"Animation, Family"
549,154500000.0,78000000.0,196392649.0,Cloudy with a Chance of Meatballs 2,119793567.0,274392649.0,251.78544743589742,"[16, 10751, 35]",109451.0,18.335,2013-09-27,6.4,1679.0,"Animation, Family, Comedy"
550,119600000.0,37000000.0,230816276.0,We're the Millers,150394119.0,267816276.0,623.827772972973,"[35, 80]",138832.0,14.746,2013-08-07,6.8,5231.0,"Comedy, Crime"
551,160900000.0,100000000.0,162794441.0,Epic,107518682.0,262794441.0,162.794441,"[16, 12, 10751, 14]",116711.0,13.995,2013-05-24,6.4,1670.0,"Animation, Adventure, Family, Fantasy"
552,171200000.0,275000000.0,-14997885.0,The Lone Ranger,89302115.0,260002115.0,-5.453776363636364,"[28, 12, 37]",57201.0,12.482,2013-07-03,6.0,3789.0,"Action, Adventure, Western"
553,101100000.0,40000000.0,217878294.0,American Hustle,150117807.0,257878294.0,544.695735,"[18, 80]",168672.0,12.481,2013-12-12,6.8,4443.0,"Drama, Crime"
554,113300000.0,80000000.0,167023808.0,Grown Ups 2,133668525.0,247023808.0,208.77976,[35],109418.0,11.289,2013-07-12,5.9,2090.0,Comedy
555,183300000.0,130000000.0,121499665.0,After Earth,60522097.0,251499665.0,93.46128076923077,"[878, 28, 12]",82700.0,14.415,2013-05-31,5.1,4154.0,"Science Fiction, Action, Adventure"
556,70300000.0,43000000.0,186727774.0,The Heat,159581587.0,229727774.0,434.25063720930234,"[28, 35, 80]",136795.0,16.912,2013-06-28,6.6,2441.0,"Action, Comedy, Crime"
557,111700000.0,55000000.0,165648184.0,Captain Phillips,107136417.0,220648184.0,301.1785163636364,"[28, 18, 53]",109424.0,15.483,2013-10-11,7.6,3909.0,"Action, Drama, Thriller"
558,132300000.0,150000000.0,55440387.0,White House Down,73103784.0,205440387.0,36.960258,"[28, 18, 53]",117251.0,13.026,2013-06-28,6.4,2817.0,"Action, Drama, Thriller"
559,131300000.0,90000000.0,110859554.0,Percy Jackson: Sea of Monsters,68559554.0,200859554.0,123.17728222222222,"[12, 10751, 14]",76285.0,15.762,2013-08-07,5.9,3109.0,"Adventure, Family, Fantasy"
560,132500000.0,195000000.0,2687603.0,Jack the Giant Slayer,65187603.0,197687603.0,1.3782579487179487,"[28, 12, 10751, 14]",81005.0,12.773,2013-03-01,5.6,3403.0,"Action, Adventure, Family, Fantasy"
561,129900000.0,91000000.0,96861183.0,The Secret Life of Walter Mitty,58236838.0,187861183.0,106.44086043956045,"[12, 35, 18, 14]",116745.0,10.743,2013-12-25,7.1,4859.0,"Adventure, Comedy, Drama, Fantasy"
562,131100000.0,20000000.0,161025343.0,12 Years a Slave,56671993.0,181025343.0,805.1267149999999,"[18, 36]",76203.0,16.493,2013-10-30,7.9,6631.0,"Drama, History"
564,39500000.0,35000000.0,140361578.0,Identity Thief,134506920.0,175361578.0,401.03308000000004,"[35, 80]",109431.0,13.553,2013-02-09,5.8,2230.0,"Comedy, Crime"
565,46300000.0,50000000.0,122185754.0,Anchorman 2: The Legend Continues,127352707.0,172185754.0,244.371508,[35],109443.0,12.08,2013-12-18,6.1,1408.0,Comedy
566,71300000.0,70000000.0,102878928.0,Olympus Has Fallen,98927592.0,172878928.0,146.96989714285715,"[28, 53]",117263.0,13.864,2013-03-22,6.2,4086.0,"Action, Thriller"
568,29700000.0,40000000.0,109804632.0,Lone Survivor,125095601.0,149804632.0,274.51158000000004,"[28, 18, 10752]",193756.0,15.404,2013-12-24,7.4,2289.0,"Action, Drama, War"
569,49800000.0,15000000.0,145903019.0,Jackass Presents: Bad Grandpa,102003019.0,160903019.0,972.6867933333333,[35],208134.0,8.823,2013-10-25,6.0,928.0,Comedy
570,113400000.0,175000000.0,-23283185.0,47 Ronin,38362475.0,151716815.0,-13.304677142857143,"[18, 28, 12, 14]",64686.0,25.049,2013-12-25,6.0,2080.0,"Drama, Action, Adventure, Fantasy"
571,74800000.0,15000000.0,133095566.0,Mama,71628180.0,148095566.0,887.3037733333333,[27],132232.0,11.983,2013-01-18,6.1,2421.0,Horror
572,112200000.0,70000000.0,33735965.0,Escape Plan,25135965.0,103735965.0,48.19423571428572,"[28, 53]",107846.0,17.88,2013-10-18,6.7,2799.0,"Action, Thriller"
573,70500000.0,28000000.0,84914167.0,Last Vegas,63914167.0,112914167.0,303.2648821428571,[35],137093.0,6.533,2013-11-01,6.4,1211.0,Comedy
