,title_x,foreign_gross,production_budget,domestic_gross_y,worldwide_gross,net_profit,ROI,runtime_minutes,genres,averagerating,numvotes,popularity,release_date,release_month
918,Manchester by the Sea,31300000,8500000,47695371,77733867,69233867,814.5160823529412,137.0,Drama,7.8,214557.0,16.638,2016-11-18,November
919,The Boss,15600000,29000000,63077560,78652207,49652207,171.21450689655174,99.0,Comedy,5.4,39096.0,11.442,2016-04-08,April
920,Mike and Dave Need Wedding Dates,31100000,33000000,46009673,75898100,42898100,129.99424242424243,98.0,"Adventure,Comedy,Romance",6.0,74849.0,11.676,2016-07-08,July
921,Miracles from Heaven,12200000,13000000,61705123,73798736,60798736,467.68258461538466,109.0,"Biography,Drama,Family",7.1,17734.0,10.078,2016-03-18,March
922,Kubo and the Two Strings,21900000,55000000,48023088,77548122,22548122,40.99658545454545,101.0,"Action,Adventure,Animation",7.8,105578.0,13.847,2016-08-19,August
923,Fences,6700000,24000000,57682904,64282881,40282881,167.8453375,139.0,Drama,7.2,86749.0,12.753,2016-12-16,December
924,"Hail, Caesar!",33100000,22000000,30080225,64160680,42160680,191.63945454545456,106.0,"Comedy,Drama,Music",6.3,111422.0,12.312,2016-02-05,February
925,The Nice Guys,26500000,50000000,36261763,59596747,9596747,19.193494,116.0,"Action,Comedy,Crime",7.4,240337.0,13.743,2016-05-20,May
926,Zoolander 2,27900000,50000000,28848693,55348693,5348693,10.697386,101.0,Comedy,4.7,59914.0,12.997,2016-02-12,February
927,Barbershop: The Next Cut,1000000,20000000,54030051,54404202,34404202,172.02101000000002,111.0,"Comedy,Drama",5.9,13306.0,12.846,2016-04-15,April
928,The Finest Hours,24500000,70000000,27569558,49252761,-20747239,-29.638912857142856,117.0,"Action,Drama,History",6.8,55981.0,12.673,2016-01-29,January
929,Patriots Day,18700000,40000000,31886361,52837989,12837989,32.094972500000004,133.0,"Action,Crime,Drama",7.4,76204.0,15.435,2016-12-21,December
930,Florence Foster Jenkins,21500000,29000000,27383770,56000339,27000339,93.1046172413793,111.0,"Biography,Comedy,Drama",6.8,44970.0,8.453,2016-08-12,August
931,A Monster Calls,43600000,43000000,3740823,46414530,3414530,7.940767441860465,108.0,"Animation,Drama,Fantasy",7.5,70416.0,11.128,2016-12-23,December
932,Eddie the Eagle,30400000,23000000,15789389,45060480,22060480,95.91513043478261,106.0,"Biography,Comedy,Drama",7.4,75331.0,11.483,2016-02-26,February
933,Risen,9200000,20000000,36880033,46255763,26255763,131.278815,121.0,"Biography,Drama",5.3,182.0,10.089,2016-02-18,February
934,Blair Witch,24400000,10000000,20777061,38985577,28985577,289.85577,89.0,"Horror,Mystery,Thriller",5.0,36867.0,9.772,2016-09-16,September
935,Almost Christmas,422000,17000000,42065185,42493506,25493506,149.96179999999998,111.0,"Comedy,Drama",6.1,5212.0,6.532,2016-11-11,November
936,The Witch,15300000,3500000,25138705,40454520,36954520,1055.8434285714286,92.0,"Horror,Mystery",6.8,154278.0,13.493,2016-02-19,February
937,Hell or High Water,10900000,12000000,27007844,37584304,25584304,213.20253333333335,102.0,"Action,Crime,Drama",7.6,176469.0,15.749,2016-08-12,August
938,The Forest,11000000,10000000,26594261,40749230,30749230,307.4923,98.0,"Horror,Thriller",3.5,135.0,10.069,2016-01-08,January
940,Snowden,15700000,50000000,21587519,35380918,-14619082,-29.238164,134.0,"Biography,Drama,Thriller",7.3,119149.0,13.703,2016-09-16,September
941,When the Bough Breaks,911000,10000000,29747603,30768449,20768449,207.68449,107.0,"Crime,Drama,Horror",5.1,4729.0,8.062,2016-09-09,September
942,Nocturnal Animals,19600000,22500000,10663357,32398681,9898681,43.99413777777777,116.0,"Drama,Thriller",7.5,205240.0,16.19,2016-11-18,November
943,The Light Between Oceans,13400000,20000000,12545979,22281732,2281732,11.40866,133.0,"Drama,Romance",7.2,46247.0,29.887,2016-09-02,September
944,Free State of Jones,4200000,50000000,20810036,23237252,-26762748,-53.525496,139.0,"Action,Biography,Drama",6.9,45135.0,8.574,2016-06-24,June
945,Middle School: The Worst Years of My Life,3300000,8500000,20007149,23311293,14811293,174.25050588235294,92.0,"Comedy,Family",6.1,6413.0,8.479,2016-10-07,October
946,Triple 9,10500000,20000000,12639297,25943792,5943792,29.71896,115.0,"Crime,Thriller",6.3,60369.0,13.334,2016-02-26,February
947,Whiskey Tango Foxtrot,0,35000000,23083334,25350747,-9649253,-27.569294285714285,112.0,"Biography,Comedy,Drama",6.6,46265.0,8.564,2016-03-04,March
948,Fifty Shades of Black,10500000,5000000,11686940,22113075,17113075,342.2615,92.0,Comedy,3.5,17189.0,8.784,2016-01-29,January
949,Keanu,0,15000000,20591853,20688141,5688141,37.920939999999995,100.0,"Action,Comedy,Crime",6.3,41560.0,8.952,2016-04-29,April
950,The Edge of Seventeen,4400000,9000000,14431633,19096003,10096003,112.17781111111111,104.0,"Comedy,Drama",7.3,87602.0,11.546,2016-11-18,November
951,Eye in the Sky,0,13000000,18704596,35402802,22402802,172.32924615384616,102.0,"Drama,Thriller,War",7.3,72301.0,10.219,2016-03-11,March
952,Regression,17600000,20000000,55039,15824374,-4175626,-20.87813,106.0,"Crime,Horror,Mystery",5.7,33335.0,10.713,2016-02-05,February
953,Norm of the North,0,18000000,17062499,30535660,12535660,69.64255555555555,90.0,"Adventure,Animation,Comedy",3.6,7951.0,9.325,2016-01-15,January
954,Hardcore Henry,7600000,2000000,9252038,17187434,15187434,759.3717,96.0,"Action,Adventure,Sci-Fi",6.7,78226.0,10.459,2016-04-06,April
955,Pride and Prejudice and Zombies,5500000,28000000,10907291,16638300,-11361700,-40.5775,108.0,"Action,Comedy,Horror",5.8,46187.0,9.086,2016-02-05,February
956,The Infiltrator,0,47500000,15436808,20718104,-26781896,-56.38293894736842,127.0,"Biography,Crime,Drama",7.0,61547.0,9.588,2016-07-13,July
957,The Other Side of the Door,11300000,5000000,3000342,12905107,7905107,158.10214,90.0,Drama,3.8,5.0,9.078,2016-03-11,March
958,Jackie,0,9000000,13960394,36588512,27588512,306.53902222222223,100.0,"Biography,Drama,History",6.7,66008.0,8.819,2016-12-02,December
959,Shut In,6200000,10000000,6900335,11360665,1360665,13.60665,91.0,"Drama,Mystery,Thriller",4.7,11030.0,10.535,2016-11-11,November
960,Loving,5200000,9000000,7710234,12898064,3898064,43.311822222222226,105.0,"Drama,Romance",7.1,257.0,8.506,2016-11-04,November
961,The Man Who Knew Infinity,8400000,10000000,3877922,12382122,2382122,23.82122,108.0,"Biography,Drama",7.2,43575.0,8.76,2016-04-29,April
962,The Darkness,0,4000000,10753574,10898293,6898293,172.457325,92.0,"Horror,Thriller",4.4,12435.0,8.357,2016-05-13,May
963,The Perfect Match,745000,5000000,9669521,10182050,5182050,103.641,96.0,"Comedy,Romance",4.9,3052.0,6.875,2016-03-11,March
964,Queen of Katwe,1500000,15000000,8874389,10055481,-4944519,-32.96346,124.0,"Biography,Drama,Sport",7.4,13039.0,7.564,2016-09-23,September
965,Miss Sloane,5600000,18000000,3500605,7719630,-10280370,-57.11316666666667,132.0,"Drama,Thriller",7.5,52788.0,12.215,2016-11-25,November
966,Morgan,4900000,8000000,3915251,7298786,-701214,-8.765175,89.0,"Drama,Romance",6.8,1232.0,1.111,2012-01-07,January
968,The Young Messiah,0,16800000,6469813,7313697,-9486303,-56.46608928571428,111.0,"Drama,Fantasy",5.6,2882.0,5.531,2016-03-11,March
969,Incarnate,1500000,5000000,4799774,9371036,4371036,87.42072,91.0,"Horror,Thriller",5.3,10217.0,7.137,2016-12-02,December
970,Max Steel,2500000,10000000,3818664,4563080,-5436920,-54.36919999999999,92.0,"Action,Adventure,Family",4.6,16788.0,8.88,2016-10-14,October
971,Midnight Special,2500000,18000000,3712282,7680250,-10319750,-57.331944444444446,112.0,"Action,Drama,Mystery",6.6,67921.0,8.653,2016-03-18,March
972,Genius,4300000,17000000,1361045,7265283,-9734717,-57.26304117647059,104.0,"Biography,Drama",6.6,15611.0,9.417,2016-06-10,June
973,Hunt for the Wilderpeople,0,2500000,5205471,23845533,21345533,853.8213199999999,101.0,"Adventure,Comedy,Drama",7.9,87532.0,12.545,2016-06-24,June
974,Bleed for This,0,16000000,5083906,6603926,-9396074,-58.725462500000006,117.0,"Biography,Drama,Sport",6.8,21946.0,8.258,2016-11-04,November
975,Hands of Stone,0,20000000,4712792,5031975,-14968025,-74.840125,111.0,"Action,Biography,Drama",6.6,12851.0,8.17,2016-08-26,August
976,The Meddler,0,3200000,4267219,5526942,2326942,72.7169375,103.0,"Comedy,Drama,Romance",6.3,10629.0,7.725,2016-04-22,April
977,A Hologram for the King,0,35000000,4212494,11846010,-23153990,-66.15425714285715,98.0,"Comedy,Drama,Romance",6.1,36062.0,11.055,2016-04-22,April
978,Swiss Army Man,0,3000000,4210454,5837111,2837111,94.57036666666667,97.0,"Adventure,Comedy,Drama",7.0,91736.0,10.0,2016-06-24,June
979,Denial,0,10000000,4073448,9263940,-736060,-7.360600000000001,109.0,"Biography,Drama",6.7,16593.0,9.267,2016-09-30,September
980,Green Room,0,5000000,3220371,3807503,-1192497,-23.84994,95.0,"Horror,Music,Thriller",7.0,90773.0,9.943,2016-04-15,April
981,Compadres,0,3000000,3127773,7445044,4445044,148.16813333333334,101.0,"Action,Comedy,Crime",4.7,876.0,1.927,2016-04-22,April
982,The Disappointments Room,0,15000000,2423467,3503761,-11496239,-76.64159333333333,85.0,"Drama,Horror,Thriller",3.9,8167.0,6.324,2016-09-09,September
983,Paterson,0,5000000,2141423,10727536,5727536,114.55072,118.0,"Comedy,Drama,Romance",7.4,55285.0,9.486,2016-12-28,December
984,American Honey,1200000,3500000,663247,2611750,-888250,-25.378571428571426,163.0,"Adventure,Drama,Romance",7.0,31663.0,8.778,2016-09-30,September
985,Jane Got a Gun,0,25000000,1513793,3771345,-21228655,-84.91462,98.0,"Action,Drama,Western",5.9,19051.0,8.825,2016-01-29,January
986,The Neon Demon,0,7500000,1333124,3559803,-3940197,-52.53596,117.0,"Horror,Thriller",6.2,72359.0,11.787,2016-06-14,June
987,The Invitation,0,1000000,231738,354836,-645164,-64.51639999999999,100.0,"Drama,Horror,Mystery",6.7,70213.0,10.424,2015-03-13,March
988,A Street Cat Named Bob,0,8000000,82703,17382693,9382693,117.28366249999999,103.0,"Biography,Comedy,Drama",7.4,23204.0,7.12,2016-11-18,November
989,They Will Have to Kill Us First,0,600000,0,7943,-592057,-98.67616666666666,100.0,Documentary,7.3,112.0,0.6,2015-08-04,August
990,The Fate of the Furious,1010,250000000,225764765,1234846267,984846267,393.9385068,136.0,"Action,Crime,Thriller",6.7,179774.0,28.668,2017-04-14,April
991,Despicable Me 3,770200000,75000000,264624300,1034727750,959727750,1279.637,89.0,"Adventure,Animation,Comedy",6.3,92580.0,16.407,2017-06-30,June
992,Jumanji: Welcome to the Jungle,557600000,90000000,404508916,964496193,874496193,971.6624366666666,119.0,"Action,Adventure,Comedy",7.0,242735.0,20.395,2017-12-20,December
993,Spider-Man: Homecoming,546000000,175000000,334201140,880166350,705166350,402.9522,133.0,"Action,Adventure,Sci-Fi",7.5,426302.0,46.775,2017-07-07,July
