,title,foreign_gross,release_date,production_budget,domestic_gross_y,worldwide_gross,net_profit,ROI
949,The Accountant,68900000,2016-10-14,40000000,86260045,152962083,112962083,282.4052075
950,Gods of Egypt,119500000,2016-02-26,140000000,31153464,138836756,-1163244,-0.8308885714285714
951,Lights Out,81600000,2016-07-22,5000000,67268835,148806510,143806510,2876.1302
952,Sausage Party,43000000,2016-08-12,19000000,97670358,141344255,122344255,643.9171315789474
953,Lion,88600000,2016-11-25,12000000,51739495,149570720,137570720,1146.4226666666666
954,Mechanic: Resurrection,104500000,2016-08-26,40000000,21218403,109738840,69738840,174.3471
955,Ride Along 2,33400000,2016-01-15,40000000,90862685,124827316,84827316,212.06829
956,Deepwater Horizon,60400000,2016-09-30,156000000,61433527,122603824,-33396176,-21.40780512820513
957,Allied,79400000,2016-11-23,106000000,40098064,119266661,13266661,12.515717924528303
958,The Shallows,64000000,2016-06-24,13000000,55121623,118763442,105763442,813.5649384615384
959,The Purge: Election Year,39400000,2016-07-01,10000000,79042440,118514727,108514727,1085.14727
960,Why Him?,57800000,2016-12-23,38000000,60323786,117425156,79425156,209.01356842105264
961,Office Christmas Party,59700000,2016-12-09,45000000,54767494,91323299,46323299,102.94066444444445
962,10 Cloverfield Lane,38100000,2016-03-11,5000000,72082999,108286422,103286422,2065.7284400000003
963,The 5th Wave,75000000,2016-01-22,38000000,34912982,111336398,73336398,192.99052105263158
964,Neighbors 2: Sorority Rising,52600000,2016-05-20,35000000,55340730,108757621,73757621,210.73605999999998
965,The Little Prince,96200000,2016-02-12,77500000,1311213,102028919,24528919,31.650218064516128
966,Dirty Grandpa,58500000,2016-01-22,11500000,35593113,105078449,93578449,813.7256434782608
967,Money Monster,52300000,2016-05-13,27000000,41012075,93466095,66466095,246.1707222222222
968,My Big Fat Greek Wedding 2,29200000,2016-03-25,18000000,59689605,92096558,74096558,411.6475444444444
969,Collateral Beauty,57500000,2016-12-16,36000000,31016021,85309093,49309093,136.96970277777777
970,Sultan,81100000,2016-07-06,11000000,5599781,72989781,61989781,563.5434636363636
971,War Dogs,43200000,2016-08-19,50000000,43034523,86234503,36234503,72.46900600000001
972,Nerve,46700000,2016-07-27,20000000,38583626,70652284,50652284,253.26142
973,Ouija: Origin of Evil,46600000,2016-10-21,9000000,35144505,81831866,72831866,809.2429555555557
974,Manchester by the Sea,31300000,2016-11-18,8500000,47695371,77733867,69233867,814.5160823529412
975,The Boss,15600000,2016-04-08,29000000,63077560,78652207,49652207,171.21450689655174
976,Mike and Dave Need Wedding Dates,31100000,2016-07-08,33000000,46009673,75898100,42898100,129.99424242424243
977,Miracles from Heaven,12200000,2016-03-16,13000000,61705123,73798736,60798736,467.68258461538466
978,Kubo and the Two Strings,21900000,2016-08-19,55000000,48023088,77548122,22548122,40.99658545454545
979,13 Hours: The Secret Soldiers of Benghazi,16600000,2016-01-15,50000000,52853219,69411370,19411370,38.82274
980,Fences,6700000,2016-12-16,24000000,57682904,64282881,40282881,167.8453375
981,"Hail, Caesar!",33100000,2016-02-05,22000000,30080225,64160680,42160680,191.63945454545456
982,The Nice Guys,26500000,2016-05-20,50000000,36261763,59596747,9596747,19.193494
983,Zoolander 2,27900000,2016-02-12,50000000,28848693,55348693,5348693,10.697386
984,Barbershop: The Next Cut,1000000,2016-04-15,20000000,54030051,54404202,34404202,172.02101000000002
985,The Finest Hours,24500000,2016-01-29,70000000,27569558,49252761,-20747239,-29.638912857142856
986,Patriots Day,18700000,2016-12-21,40000000,31886361,52837989,12837989,32.094972500000004
987,Florence Foster Jenkins,21500000,2016-08-12,29000000,27383770,56000339,27000339,93.1046172413793
988,A Monster Calls,43600000,2017-01-06,43000000,3740823,46414530,3414530,7.940767441860465
989,Eddie the Eagle,30400000,2016-02-26,23000000,15789389,45060480,22060480,95.91513043478261
990,Risen,9200000,2016-02-19,20000000,36880033,46255763,26255763,131.278815
991,Blair Witch,24400000,2016-09-16,10000000,20777061,38985577,28985577,289.85577
992,Almost Christmas,422000,2016-11-11,17000000,42065185,42493506,25493506,149.96179999999998
993,The Witch,15300000,2016-02-19,3500000,25138705,40454520,36954520,1055.8434285714286
994,Hell or High Water,10900000,2016-08-12,12000000,27007844,37584304,25584304,213.20253333333335
995,The Forest,11000000,2016-01-08,10000000,26594261,40749230,30749230,307.4923
996,Snowden,15700000,2016-09-16,50000000,21587519,35380918,-14619082,-29.238164
997,When the Bough Breaks,911000,2016-09-09,10000000,29747603,30768449,20768449,207.68449
998,Nocturnal Animals,19600000,2016-11-18,22500000,10663357,32398681,9898681,43.99413777777777
999,The Light Between Oceans,13400000,2016-09-02,20000000,12545979,22281732,2281732,11.40866
1000,The Brothers Grimsby,18300000,2016-03-11,35000000,6864016,28720470,-6279530,-17.941514285714284
1001,Free State of Jones,4200000,2016-06-24,50000000,20810036,23237252,-26762748,-53.525496
1002,Middle School: The Worst Years of My Life,3300000,2016-10-07,8500000,20007149,23311293,14811293,174.25050588235294
1003,Triple 9,10500000,2016-02-26,20000000,12639297,25943792,5943792,29.71896
1004,Whiskey Tango Foxtrot,0,2016-03-04,35000000,23083334,25350747,-9649253,-27.569294285714285
1005,Fifty Shades of Black,10500000,2016-01-29,5000000,11686940,22113075,17113075,342.2615
1006,Keanu,0,2016-04-29,15000000,20591853,20688141,5688141,37.920939999999995
1007,The Edge of Seventeen,4400000,2016-11-18,9000000,14431633,19096003,10096003,112.17781111111111
1008,Eye in the Sky,0,2016-03-11,13000000,18704596,35402802,22402802,172.32924615384616
1009,Regression,17600000,2015-10-30,20000000,55039,15824374,-4175626,-20.87813
1010,Norm of the North,0,2016-01-15,18000000,17062499,30535660,12535660,69.64255555555555
1011,Hardcore Henry,7600000,2016-04-08,2000000,9252038,17187434,15187434,759.3717
1012,Pride and Prejudice and Zombies,5500000,2016-02-05,28000000,10907291,16638300,-11361700,-40.5775
1013,The Infiltrator,0,2016-07-13,47500000,15436808,20718104,-26781896,-56.38293894736842
1014,"Hello, My Name is Doris",0,2016-03-11,1000000,14444999,14662703,13662703,1366.2703000000001
1015,The Other Side of the Door,11300000,2016-03-04,5000000,3000342,12905107,7905107,158.10214
1016,Jackie,0,2016-12-02,9000000,13960394,36588512,27588512,306.53902222222223
1017,Shut In,6200000,2016-11-11,10000000,6900335,11360665,1360665,13.60665
1018,Loving,5200000,2016-11-04,9000000,7710234,12898064,3898064,43.311822222222226
1019,The Man Who Knew Infinity,8400000,2016-04-29,10000000,3877922,12382122,2382122,23.82122
1020,The Darkness,0,2016-05-13,4000000,10753574,10898293,6898293,172.457325
1021,The Perfect Match,745000,2016-03-11,5000000,9669521,10182050,5182050,103.641
1022,Queen of Katwe,1500000,2016-09-23,15000000,8874389,10055481,-4944519,-32.96346
1023,Miss Sloane,5600000,2016-11-25,18000000,3500605,7719630,-10280370,-57.11316666666667
1024,Morgan,4900000,2016-09-02,8000000,3915251,7298786,-701214,-8.765175
1025,The Young Messiah,0,2016-03-11,16800000,6469813,7313697,-9486303,-56.46608928571428
1026,Incarnate,1500000,2016-12-02,5000000,4799774,9371036,4371036,87.42072
1027,Max Steel,2500000,2016-10-14,10000000,3818664,4563080,-5436920,-54.36919999999999
1028,Midnight Special,2500000,2016-03-18,18000000,3712282,7680250,-10319750,-57.331944444444446
1029,Genius,4300000,2016-06-10,17000000,1361045,7265283,-9734717,-57.26304117647059
1030,Hunt for the Wilderpeople,0,2016-06-24,2500000,5205471,23845533,21345533,853.8213199999999
1031,Bleed for This,0,2016-11-18,16000000,5083906,6603926,-9396074,-58.725462500000006
1032,Hands of Stone,0,2016-08-26,20000000,4712792,5031975,-14968025,-74.840125
1033,The Meddler,0,2016-04-22,3200000,4267219,5526942,2326942,72.7169375
1034,A Hologram for the King,0,2016-04-22,35000000,4212494,11846010,-23153990,-66.15425714285715
1035,Swiss Army Man,0,2016-06-24,3000000,4210454,5837111,2837111,94.57036666666667
1036,Denial,0,2016-09-30,10000000,4073448,9263940,-736060,-7.360600000000001
1037,Green Room,0,2016-04-15,5000000,3220371,3807503,-1192497,-23.84994
1038,Compadres,0,2016-04-22,3000000,3127773,7445044,4445044,148.16813333333334
1039,The Disappointments Room,0,2016-09-09,15000000,2423467,3503761,-11496239,-76.64159333333333
1040,Paterson,0,2016-12-28,5000000,2141423,10727536,5727536,114.55072
1041,The Dressmaker,0,2016-09-23,11900000,2022115,24041617,12141617,102.03039495798319
1042,American Honey,1200000,2016-09-30,3500000,663247,2611750,-888250,-25.378571428571426
1043,Jane Got a Gun,0,2016-01-29,25000000,1513793,3771345,-21228655,-84.91462
1044,The Neon Demon,0,2016-06-24,7500000,1333124,3559803,-3940197,-52.53596
1045,Operation Chromite,0,2016-08-05,12700000,1022720,49196532,36496532,287.3742677165354
1046,Dheepan,0,2016-05-06,9000000,248795,7704357,-1295643,-14.396033333333333
1047,The Invitation,0,2016-04-08,1000000,231738,354836,-645164,-64.51639999999999
1048,A Street Cat Named Bob,0,2016-11-18,8000000,82703,17382693,9382693,117.28366249999999
1049,Evolution,0,2001-06-08,80000000,38311134,98341932,18341932,22.927415
1050,They Will Have to Kill Us First,0,2016-03-04,600000,0,7943,-592057,-98.67616666666666
1051,The Fate of the Furious,1010,2017-04-14,250000000,225764765,1234846267,984846267,393.9385068
1052,Despicable Me 3,770200000,2017-06-30,75000000,264624300,1034727750,959727750,1279.637
1053,Jumanji: Welcome to the Jungle,557600000,2017-12-20,90000000,404508916,964496193,874496193,971.6624366666666
1054,Spider-Man: Homecoming,546000000,2017-07-07,175000000,334201140,880166350,705166350,402.9522
1055,Thor: Ragnarok,538900000,2017-11-03,180000000,315058289,846980024,666980024,370.5444577777778
1056,Wonder Woman,409300000,2017-06-02,150000000,412563408,821133378,671133378,447.42225199999996
1057,Coco,597400000,2017-11-22,175000000,209726015,798008101,623008101,356.00462914285714
1058,Pirates of the Caribbean: Dead Men Tell No Tales,622300000,2017-05-26,230000000,172558876,788241137,558241137,242.71353782608696
1059,It,372900000,2017-09-08,35000000,327481748,697457969,662457969,1892.7370542857143
1060,Justice League,428900000,2017-11-17,300000000,229024295,655945209,355945209,118.64840299999999
1061,Transformers: The Last Knight,475300000,2017-06-21,217000000,130168683,602893340,385893340,177.8310322580645
1062,Kong: Skull Island,398600000,2017-03-10,185000000,168052812,561072059,376072059,203.28219405405403
1063,The Boss Baby,353000000,2017-03-31,125000000,175003033,510878762,385878762,308.7030096
1064,Dunkirk,337200000,2017-07-21,150000000,190068280,499837368,349837368,233.22491200000002
1065,War for the Planet of the Apes,343800000,2017-07-14,152000000,146880162,489592267,337592267,222.10017565789474
1066,The Greatest Showman,260700000,2017-12-20,84000000,174340174,386665550,302665550,360.31613095238095
1067,Kingsman: The Golden Circle,310700000,2017-09-22,104000000,100234838,408803696,304803696,293.0804769230769
1068,Cars 3,231000000,2017-06-16,175000000,152901115,383541369,208541369,119.16649657142857
1069,Fifty Shades Darker,267000000,2017-02-10,55000000,114434010,381398492,326398492,593.4518036363636
1070,The Great Wall,289400000,2017-02-17,150000000,45157105,334486852,184486852,122.99123466666666
1071,Resident Evil: The Final Chapter,285400000,2017-01-27,40000000,26844692,314101190,274101190,685.252975
1072,Annabelle: Creation,204400000,2017-08-11,15000000,102092201,305384865,290384865,1935.8990999999999
1073,Wonder,173500000,2017-11-17,20000000,132422809,304604712,284604712,1423.02356
1074,Ferdinand,211700000,2017-12-15,111000000,84410380,289847930,178847930,161.12426126126127
1075,Split,140200000,2017-01-20,5000000,138141585,278964806,273964806,5479.29612
1076,Blade Runner 2049,167200000,2017-10-06,185000000,92054159,259357408,74357408,40.19319351351351
1077,Get Out,79400000,2017-02-24,5000000,176040665,255367951,250367951,5007.35902
1078,Baahubali 2: The Conclusion,234000000,2017-04-28,30000000,18985794,263502914,233502914,778.3430466666666
1079,Alien: Covenant,166600000,2017-05-19,97000000,74262031,238521247,141521247,145.89819278350515
1080,Baby Driver,119100000,2017-06-28,34000000,107825862,228104185,194104185,570.8946617647059
1081,Valerian and the City of a Thousand Planets,184700000,2017-07-21,180000000,40479370,215098356,35098356,19.499086666666667
1082,Geostorm,187900000,2017-10-20,100000000,33700160,220796009,120796009,120.796009
1083,The Emoji Movie,131699999,2017-07-28,50000000,86089513,216562312,166562312,333.124624
1084,Smurfs: The Lost Village,152200000,2017-04-07,60000000,45020282,197578586,137578586,229.29764333333333
1085,The Shape of Water,131400000,2017-12-01,19500000,63859435,195790794,176290794,904.0553538461538
1086,Pitch Perfect 3,80500000,2017-12-22,45000000,104897530,185736412,140736412,312.7475822222222
1087,The Post,97900000,2017-12-22,50000000,81903458,179748880,129748880,259.49775999999997
1088,Baywatch,119800000,2017-05-25,60000000,58060186,175863783,115863783,193.106305
1089,John Wick: Chapter Two,79500000,2017-02-10,40000000,92029184,171350009,131350009,328.3750225
1090,"Three Billboards Outside Ebbing, Missouri",104700000,2017-11-10,12000000,54513740,160191915,148191915,1234.9326250000001
1091,Darkest Hour,94400000,2017-11-22,30000000,56443120,150807172,120807172,402.6905733333333
1092,King Arthur: Legend of the Sword,109500000,2017-05-12,175000000,39175066,139630336,-35369664,-20.21123657142857
1093,The Foreigner,111000000,2017-10-13,35000000,34393507,140783360,105783360,302.23817142857143
1094,Girls Trip,25400000,2017-07-21,28000000,115108515,140886353,112886353,403.1655464285715
1095,American Made,83500000,2017-09-29,50000000,51342000,135569212,85569212,171.138424
1096,A Bad Moms Christmas,58400000,2017-11-01,28000000,72110659,127710550,99710550,356.1091071428571
1097,Captain Underpants: The First Epic Movie,51600000,2017-06-02,38000000,73921000,126577874,88577874,233.09966842105263
1098,Happy Death Day,69800000,2017-10-13,5000000,55683845,125010260,120010260,2400.2052
1099,The Dark Tower,62500000,2017-08-04,60000000,50701325,113461527,53461527,89.102545
1100,Jigsaw,64900000,2017-10-27,10000000,38052832,102445196,92445196,924.45196
1101,Atomic Blonde,48300000,2017-07-28,30000000,51573925,98345423,68345423,227.81807666666666
1102,Rings,55300000,2017-02-03,25000000,27793018,82917283,57917283,231.669132
1103,Underworld: Blood Wars,50700000,2017-01-06,35000000,30353973,81209222,46209222,132.02634857142857
1104,Lady Bird,30000000,2017-11-03,10000000,48958273,78610769,68610769,686.1076899999999
1105,American Assassin,31000000,2017-09-15,63000000,36249674,68310140,5310140,8.42879365079365
1106,Victoria and Abdul,43200000,2017-09-22,21000000,22245070,68271146,47271146,225.10069523809523
1107,The Nut Job 2: Nutty by Nature,36800000,2017-08-11,40000000,28370522,57438389,17438389,43.5959725
1108,Monster Trucks,31100000,2017-01-13,125000000,33370166,61642798,-63357202,-50.6857616
1109,The Star,22000000,2017-11-17,20000000,40847995,62758010,42758010,213.79005
1110,"Everything, Everything",27500000,2017-05-19,10000000,34121140,61603136,51603136,516.0313600000001
1111,Snatched,15000000,2017-05-12,42000000,45852178,57852177,15852177,37.743278571428576
1112,The Big Sick,13500000,2017-06-23,5000000,42872467,53972860,48972860,979.4572000000001
1113,Downsizing,30600000,2017-12-22,68000000,24449754,54462971,-13537029,-19.907395588235293
1114,"I, Tonya",23900000,2017-12-08,11000000,30014534,53797409,42797409,389.0673545454546
1115,Logan Lucky,20700000,2017-08-18,29000000,27778642,44264271,15264271,52.635417241379315
1116,Rough Night,25200000,2017-06-16,20000000,22105643,46844357,26844357,134.22178499999998
1117,All Eyez on Me,0,2017-06-16,45000000,44922302,54876855,9876855,21.948566666666665
1118,mother!,26700000,2017-09-15,30000000,17800004,42531076,12531076,41.770253333333336
1119,The Snowman,36400000,2017-10-20,35000000,6670765,43226146,8226146,23.503274285714284
1120,Gifted,18200000,2017-04-07,7000000,24801212,36964656,29964656,428.0665142857143
1121,T2: Trainspotting,39300000,2017-03-17,18000000,2402004,42091262,24091262,133.84034444444444
1122,Fist Fight,8900000,2017-02-17,25000000,32187017,40286416,15286416,61.145664
1123,Diary of a Wimpy Kid: The Long Haul,19400000,2017-05-19,22000000,20738724,35609577,13609577,61.86171363636363
1124,The House,8600000,2017-06-30,40000000,25584504,31192425,-8807575,-22.0189375
1125,The Disaster Artist,8700000,2017-12-01,10000000,21120616,28717667,18717667,187.17667
1126,Home Again,0,2017-09-08,15000000,27020284,37336874,22336874,148.91249333333334
1127,The Bye Bye Man,4300000,2017-01-13,7400000,22395806,31187727,23787727,321.4557702702703
1128,Father Figures,8100000,2017-12-22,25000000,17501244,21038441,-3961559,-15.846236
1129,The Founder,11300000,2017-01-20,15000000,12786053,24403192,9403192,62.68794666666667
1130,The Lost City of Z,10700000,2017-04-14,30000000,8574339,17121823,-12878177,-42.92725666666667
1131,The Space Between Us,6900000,2017-02-03,30000000,7885294,16481405,-13518595,-45.06198333333333
1132,Wish Upon,0,2017-07-14,12000000,14301505,23477345,11477345,95.64454166666667
1133,"Roman J. Israel, Esq.",1100000,2017-11-17,22000000,11962712,12967012,-9032988,-41.059036363636366
1134,Battle of the Sexes,0,2017-09-22,25000000,12638526,18445379,-6554621,-26.218483999999997
1135,Before I Fall,0,2017-03-03,5000000,12241072,18945682,13945682,278.91364
1136,Rock Dog,0,2017-02-24,60000000,9420546,24148488,-35851512,-59.75252
1137,Stronger,4200000,2017-09-22,30000000,4211129,8786752,-21213248,-70.71082666666668
1138,Tulip Fever,5900000,2017-09-01,25000000,2455635,6792768,-18207232,-72.828928
1139,Just Getting Started,1600000,2017-12-08,22000000,6069605,6756412,-15243588,-69.28903636363636
1140,All Saints,140000,2017-08-25,2000000,5802208,5941994,3941994,197.0997
1141,The Florida Project,0,2017-10-06,2000000,5904366,11295324,9295324,464.7662
1142,Table 19,1400000,2017-03-03,5000000,3614896,4620399,-379601,-7.59202
1143,Collide,2500000,2017-02-24,29200000,2280004,5466698,-23733302,-81.27843150684932
1144,The Wall,2700000,2017-05-12,3000000,1803064,4495262,1495262,49.84206666666667
1145,Friend Request,0,2017-09-22,9900000,3759078,11310835,1410835,14.250858585858586
1146,Free Fire,0,2017-04-21,10000000,1799322,3793739,-6206261,-62.06260999999999
1147,A Ghost Story,0,2017-07-07,100000,1594798,2769782,2669782,2669.782
1148,The Square,0,2010-04-09,1900000,406216,740932,-1159068,-61.00357894736842
1150,Patti Cake$,682000,2017-08-18,1000000,800148,1471090,471090,47.109
1151,Churchill,0,2017-06-02,10000000,1279681,7582196,-2417804,-24.17804
1152,City of Ghosts,100000,2003-04-25,17500000,325491,325491,-17174509,-98.14005142857143
1153,The Journey,0,2003-07-11,500000,19800,19800,-480200,-96.04
1154,Avengers: Infinity War,136900000,2018-04-27,300000000,678815482,2048134200,1748134200,582.7114
1155,Black Panther,646900000,2018-02-16,200000000,700059566,1348258224,1148258224,574.129112
1156,Jurassic World: Fallen Kingdom,891800000,2018-06-22,170000000,417719760,1305772799,1135772799,668.1016464705882
1157,Incredibles 2,634200000,2018-06-15,200000000,608581744,1242520711,1042520711,521.2603555000001
1158,Aquaman,812700000,2018-12-21,160000000,335061807,1146894640,986894640,616.80915
1159,Bohemian Rhapsody,687200000,2018-11-02,55000000,216303339,894985342,839985342,1527.2460763636363
1160,Deadpool 2,460500000,2018-05-18,110000000,324591735,786680557,676680557,615.1641427272727
1161,Fantastic Beasts: The Crimes of Grindelwald,494100000,2018-11-16,200000000,159555901,652220086,452220086,226.110043
1162,Ant-Man and the Wasp,406000000,2018-07-06,130000000,216648740,623144660,493144660,379.3420461538461
1163,Ready Player One,445200000,2018-03-29,150000000,137690172,579290136,429290136,286.193424
1164,The Meg,384800000,2018-08-10,178000000,145443742,529530715,351530715,197.48916573033708
1165,Hotel Transylvania 3: Summer Vacation,361100000,2018-07-13,65000000,167500092,527079962,462079962,710.8922492307693
1166,Bumblebee,340800000,2018-12-21,102000000,127195589,465195589,363195589,356.0741068627451
1167,Solo: A Star Wars Story,179200000,2018-05-25,275000000,213767512,393151347,118151347,42.96412618181818
1168,Fifty Shades Freed,271500000,2018-02-09,55000000,100407760,371350619,316350619,575.1829436363637
1169,Peter Rabbit,236000000,2018-02-09,50000000,115234093,347136477,297136477,594.272954
1170,Mary Poppins Returns,177600000,2018-12-19,130000000,171958438,341528518,211528518,162.71424461538462
1171,A Quiet Place,152900000,2018-04-06,17000000,188024361,334522294,317522294,1867.7782
1172,Green Book,234700000,2018-11-16,23000000,85080171,322034439,299034439,1300.1497347826087
1173,Skyscraper,236400000,2018-07-13,125000000,68420120,304115534,179115534,143.2924272
1174,Maze Runner: The Death Cure,230200000,2018-01-26,61000000,58032443,265878536,204878536,335.8664524590164
1175,Tomb Raider,216400000,2018-03-16,90000000,58250803,273477501,183477501,203.86389
1176,Crazy Rich Asians,64000000,2018-08-15,30000000,174532921,238099711,208099711,693.6657033333333
1177,Smallfoot,130900000,2018-09-28,80000000,83240103,213691277,133691277,167.11409625
1178,Creed II,98300000,2018-11-21,50000000,115715889,213591522,163591522,327.183044
1179,The Equalizer 2,88300000,2018-07-20,77000000,102084362,190453132,113453132,147.34172987012988
1180,The Nutcracker and the Four Realms,119100000,2018-11-02,132900000,54858851,170293899,37393899,28.1368690744921
1181,The Mule,68700000,2018-12-14,50000000,103804407,170857676,120857676,241.715352
1182,Insidious: The Last Key,100100000,2018-01-05,10000000,67745330,167885588,157885588,1578.85588
1183,Red Sparrow,104700000,2018-03-02,69000000,46874505,145951861,76951861,111.52443623188407
1184,The First Purge,67500000,2018-07-04,13000000,69488745,136617305,123617305,950.9023461538461
1185,A Wrinkle in Time,32200000,2018-03-09,103000000,100478608,133401882,30401882,29.516390291262134
1186,Instant Family,53200000,2018-11-16,48000000,67363237,119736188,71736188,149.45039166666666
1187,The Commuter,83600000,2018-01-12,40000000,36343858,101985431,61985431,154.9635775
1188,Game Night,48500000,2018-02-23,37000000,69179066,117378084,80378084,217.23806486486487
1189,First Man,60800000,2018-10-12,60000000,44936545,105203825,45203825,75.33970833333333
1190,Alpha,62300000,2018-08-17,51000000,35851379,99624873,48624873,95.34288823529413
1191,A Simple Favor,44100000,2018-09-14,20000000,53548586,97628717,77628717,388.143585
1192,The Favourite,61600000,2018-11-23,15000000,34366783,94113929,79113929,527.4261933333333
1193,Truth or Dare,53900000,2018-04-13,3500000,41411015,95127344,91627344,2617.9241142857145
1194,I Feel Pretty,45700000,2018-04-20,32000000,48795601,91553797,59553797,186.105615625
1195,Blockers,33700000,2018-04-06,21000000,60311495,94045328,73045328,347.8348952380952
1196,Goosebumps 2: Haunted Halloween,46600000,2018-10-12,35000000,46697321,93291478,58291478,166.54708
1197,BlacKkKlansman,44000000,2018-08-10,15000000,49275340,93017335,78017335,520.1155666666667
1198,Sherlock Gnomes,47100000,2018-03-23,59000000,43242871,87527651,28527651,48.35195084745762
1199,Mortal Engines,67700000,2018-12-14,100000000,15951040,85287417,-14712583,-14.712583000000002
1200,Den of Thieves,35600000,2018-01-19,30000000,44947622,80131391,50131391,167.10463666666666
1201,Hereditary,35300000,2018-06-08,10000000,44069456,70133905,60133905,601.33905
1202,Tag,23400000,2018-06-15,28000000,54730625,77026186,49026186,175.09352142857142
1203,Vice,28200000,2018-12-25,60000000,47836282,70883171,10883171,18.138618333333334
1204,Widows,33600000,2018-11-16,40000000,42402632,73866088,33866088,84.66521999999999
1205,Sicario: Day of the Soldado,25800000,2018-06-29,35000000,50065850,75885196,40885196,116.81484571428571
1206,Second Act,33000000,2018-12-21,15700000,39282227,63288854,47588854,303.11371974522297
1207,Book Club,0,2018-05-18,10000000,68566296,91113683,81113683,811.13683
1208,12 Strong,21600000,2018-01-19,35000000,45819713,71118378,36118378,103.19536571428571
1209,"Love, Simon",25500000,2018-03-16,10000000,40826341,65520633,55520633,555.20633
1210,Mile 22,30200000,2018-08-17,35000000,36108758,66295121,31295121,89.41463142857144
1211,Life of the Party,12800000,2018-05-11,30000000,53059911,65759911,35759911,119.19970333333335
1212,Adrift,28500000,2018-06-01,35000000,31445011,57897191,22897191,65.42054571428572
1213,The 15:17 to Paris,20800000,2018-02-09,30000000,36276286,56096200,26096200,86.98733333333334
1214,Early Man,46400000,2018-02-16,50000000,8267544,45285890,-4714110,-9.42822
1215,Peppermint,18400000,2018-09-07,25000000,35418723,51800758,26800758,107.20303200000001
1216,Teen Titans Go! To The Movies,22300000,2018-07-27,10000000,29790236,51620593,41620593,416.20593
1217,Slender Man,21200000,2018-08-10,10000000,30564825,51723644,41723644,417.23644
1218,Uncle Drew,4200000,2018-06-29,18000000,42469946,46527161,28527161,158.4842277777778
1219,Mary Queen of Scots,29900000,2018-12-07,25000000,16468499,46734733,21734733,86.93893200000001
1220,The Possession of Hannah Grace,28200000,2018-11-30,6000000,14836174,42785387,36785387,613.0897833333333
1221,The Darkest Minds,28400000,2018-08-03,34000000,12695691,38361428,4361428,12.827729411764707
1222,On the Basis of Sex,13600000,2018-12-25,20000000,24622687,38073377,18073377,90.366885
1223,The Hate U Give,5200000,2018-10-05,23000000,29719483,35067665,12067665,52.46810869565217
1224,White Boy Rick,1900000,2018-09-14,30000000,24004833,25947983,-4052017,-13.506723333333333
1225,Winchester,0,2018-02-02,3500000,25091816,44378040,40878040,1167.944
1226,"Paul, Apostle of Christ",5500000,2018-03-23,5000000,17547999,25529498,20529498,410.58995999999996
1227,Proud Mary,876000,2018-01-12,30000000,20868638,21709539,-8290461,-27.63487
1228,Superfly,236000,2018-06-13,16000000,20537137,20723581,4723581,29.522381250000002
1229,If Beale Street Could Talk,5700000,2018-12-14,12000000,14915773,19859167,7859167,65.49305833333334
1230,Hell Fest,7100000,2018-09-28,5500000,11107431,18119231,12619231,229.44056363636363
1231,Unfriended: Dark Web,6300000,2018-07-20,1000000,8866745,16434588,15434588,1543.4587999999999
1232,Upgrade,2400000,2018-06-01,3000000,11977130,16553285,13553285,451.7761666666667
1233,Unsane,6600000,2018-03-23,1500000,7690044,14244931,12744931,849.6620666666666
1234,The Sisters Brothers,10000000,2018-09-21,38000000,3143056,13143056,-24856944,-65.41301052631579
1235,Welcome to Marwen,2100000,2018-12-21,45000000,10763520,12874922,-32125078,-71.38906222222222
1236,Hotel Artemis,6000000,2018-06-08,15000000,6708137,12758799,-2241201,-14.94134
1237,Kin,4300000,2018-08-31,30000000,5718096,10096821,-19903179,-66.34393
1238,Can You Ever Forgive Me?,0,2018-10-19,10000000,8803865,11752387,1752387,17.52387
1239,Suspiria,5400000,2018-10-26,20000000,2483472,7034615,-12965385,-64.826925
1240,The Hurricane Heist,0,2018-03-09,40000000,6115824,30963684,-9036316,-22.59079
1241,Destroyer,4000000,2018-12-25,9000000,1533324,3681096,-5318904,-59.098933333333335
1242,Gotti,0,2018-06-15,10000000,4286367,6089100,-3910900,-39.109
1243,Ben is Back,0,2018-12-07,13000000,3703182,9633111,-3366889,-25.899146153846154
1244,Bilal: A New Breed of Hero,1700000,2018-02-02,30000000,490973,648599,-29351401,-97.83800333333333
1245,Mandy,0,2018-09-14,6000000,1214525,1427656,-4572344,-76.20573333333334
1246,Lean on Pete,0,2018-04-06,8000000,1163056,2455027,-5544973,-69.3121625
