,title,foreign_gross,release_date,production_budget,domestic_gross_y,worldwide_gross,net_profit,ROI
145,The Runaways,1100000,2010-03-19,9500000,3573673,5278632,-4221368,-44.43545263157895
146,Four Lions,4400000,2010-11-05,3750000,310007,2436111,-1313889,-35.037040000000005
147,Please Give,280000,2010-04-30,3000000,4033574,4570178,1570178,52.33926666666666
148,Monsters,4000000,2010-10-29,500000,237301,5639730,5139730,1027.946
149,The Killer Inside Me,3800000,2010-06-18,13000000,217277,3617277,-9382723,-72.1747923076923
150,The Perfect Game,2800000,2010-04-16,12500000,1089445,3931367,-8568633,-68.549064
151,To Save a Life,45800,2010-01-22,500000,3777210,3824868,3324868,664.9736
152,Wild Target,3300000,2010-10-29,8000000,109338,5314194,-2685806,-33.572575
153,Kites,1300000,2010-05-21,9200000,1685269,17155193,7955193,86.46948913043478
154,Letters to God,60300,2010-04-09,3000000,2848587,3237452,237452,7.915066666666666
155,Fish Tank,2000000,2010-01-15,3000000,374675,5922292,2922292,97.40973333333334
156,Housefull,1200000,2010-04-30,10100000,1183658,18726300,8626300,85.4089108910891
157,After.Life,1900000,2010-04-09,4500000,108596,2481925,-2018075,-44.84611111111111
158,Flipped,0,2010-08-06,14000000,1755212,4289993,-9710007,-69.35719285714286
159,Ondine,1100000,2010-06-04,12000000,550472,557545,-11442455,-95.35379166666667
160,The City of Your Final Destination,859000,2010-04-16,8300000,493296,1353296,-6946704,-83.69522891566265
161,It's a Wonderful Afterlife,1300000,2010-10-08,10000000,0,1642939,-8357061,-83.57061
162,Ajami,669000,2010-02-03,1000000,621859,2721096,1721096,172.1096
163,Casino Jack,40700,2010-12-17,12500000,2039869,2272186,-10227814,-81.822512
164,Leaves of Grass,949000,2010-04-02,9000000,70066,85527,-8914473,-99.0497
165,Carlos,726000,2010-10-15,18000000,145526,1619153,-16380847,-91.00470555555556
166,The Disappearance of Alice Creed,701000,2010-08-06,1500000,166980,1605139,105139,7.009266666666666
167,Life During Wartime,487000,2010-07-23,4500000,281447,281447,-4218553,-93.74562222222222
168,Enter the Void,418000,2010-09-24,16000000,337997,1467278,-14532722,-90.82951249999999
169,The Secret of Kells,62700,2010-03-05,8000000,690290,3582797,-4417203,-55.215037499999994
170,All Good Things,62500,2010-12-03,20000000,582024,873617,-19126383,-95.631915
171,Chain Letter,447000,2010-10-01,3000000,205842,1022453,-1977547,-65.91823333333333
172,I Spit on Your Grave,480000,2010-10-08,1750000,93051,1278471,-471529,-26.944514285714288
173,The Extra Man,4500,2010-07-30,7000000,453377,492108,-6507892,-92.96988571428571
174,Tiny Furniture,0,2010-11-12,50000,391674,424149,374149,748.298
175,The Tempest,68700,2010-12-10,20000000,277943,277943,-19722057,-98.610285
176,The Good Heart,323000,2010-04-30,3800000,20930,340930,-3459070,-91.02815789473684
177,Welcome to the Rileys,158000,2010-10-29,10000000,152857,355919,-9644081,-96.44081
178,The Girl on the Train,97100,2016-10-07,45000000,75395035,174278214,129278214,287.28492
179,"Lovely, Still",106000,2010-09-10,5000000,127564,282687,-4717313,-94.34626
180,The Eclipse,26400,2010-03-26,3000000,133411,133411,-2866589,-95.55296666666668
181,George A. Romero's Survival of the Dead,41500,2010-05-28,4200000,101740,101740,-4098260,-97.57761904761905
182,Freakonomics,16400,2010-10-01,2900000,101270,172867,-2727133,-94.03906896551723
183,Saint John of Las Vegas,9100,2010-01-29,2000000,102645,102645,-1897355,-94.86775
184,Transformers: Dark of the Moon,771400000,2011-06-29,195000000,352390543,1123790543,928790543,476.3028425641026
185,Pirates of the Caribbean: On Stranger Tides,804600000,2011-05-20,410600000,241063875,1045663875,635063875,154.6672856794934
186,Kung Fu Panda 2,500400000,2011-05-26,150000000,165249063,664837547,514837547,343.22503133333333
187,Fast Five,416300000,2011-04-29,125000000,210031325,630163454,505163454,404.1307632
188,The Hangover Part II,332300000,2011-05-26,80000000,254464305,586464305,506464305,633.08038125
189,The Smurfs,421100000,2011-07-29,110000000,142614158,563749323,453749323,412.4993845454545
190,Cars 2,370700000,2011-06-24,200000000,191450875,560155383,360155383,180.0776915
191,Puss in Boots,405700000,2011-10-28,130000000,149260504,554987477,424987477,326.9134438461538
192,Sherlock Holmes: A Game of Shadows,358600000,2011-12-16,125000000,186848418,535663443,410663443,328.53075440000003
193,Rio,341000000,2011-04-15,90000000,143619809,487519809,397519809,441.6886766666667
194,Rise of the Planet of the Apes,305000000,2011-08-05,93000000,176760185,470986200,377986200,406.43677419354833
195,Thor,268300000,2011-05-06,150000000,181030624,449326618,299326618,199.55107866666665
196,The Adventures of Tintin,296400000,2011-12-21,130000000,77591831,373993951,243993951,187.68765461538462
197,Captain America: The First Avenger,193900000,2011-07-22,140000000,176654505,370569776,230569776,164.69269714285716
198,X-Men: First Class,207200000,2011-06-03,160000000,146408305,355408305,195408305,122.13019062499998
199,Alvin and the Chipmunks: Chipwrecked,209600000,2011-12-16,80000000,133107389,349088523,269088523,336.36065375
200,Real Steel,213800000,2011-10-07,110000000,85463309,263880341,153880341,139.8912190909091
201,Bridesmaids,119300000,2011-05-13,32500000,169211718,289632023,257132023,791.1754553846154
202,Super 8,133100000,2011-06-10,50000000,127004179,257972745,207972745,415.94549
203,Rango,122200000,2011-03-04,135000000,123477607,245724600,110724600,82.01822222222222
204,The Green Hornet,129000000,2011-01-14,110000000,98780042,229155503,119155503,108.32318454545455
205,Immortals,143400000,2011-11-11,75000000,83504017,211562435,136562435,182.08324666666667
206,Green Lantern,103300000,2011-06-17,200000000,116601172,219535492,19535492,9.767745999999999
207,The Help,46900000,2011-08-10,25000000,169705587,213120004,188120004,752.480016
208,Bad Teacher,115900000,2011-06-24,19000000,100292856,215448997,196448997,1033.942089473684
209,Just Go With It,111900000,2011-02-11,80000000,103028109,214974953,134974953,168.71869125
210,Battle: Los Angeles,128300000,2011-03-11,70000000,83552429,213463976,143463976,204.94853714285713
211,Horrible Bosses,92100000,2011-07-08,35000000,117538559,212417601,177417601,506.90743142857144
212,Paranormal Activity 3,103000000,2011-10-21,5000000,104028807,207039844,202039844,4040.79688
213,Gnomeo and Juliet,94000000,2011-02-11,36000000,99967670,193737977,157737977,438.16104722222224
214,Hugo,111900000,2011-11-23,180000000,73864507,180047784,47784,0.026546666666666666
215,Hop,75900000,2011-04-01,63000000,108085305,188657593,125657593,199.45649682539684
216,War Horse,97700000,2011-12-25,70000000,79883359,156815529,86815529,124.02218428571427
217,The Descendants,94700000,2011-11-16,20000000,82624961,175507800,155507800,777.539
218,In Time,136400000,2011-10-28,35000000,37553932,165103952,130103952,371.72557714285716
219,Zookeeper,89500000,2011-07-08,80000000,80360866,170805525,90805525,113.50690625
220,The Muppets,76600000,2011-11-23,45000000,88625922,160971922,115971922,257.7153822222222
221,Limitless,82600000,2011-03-18,27000000,79249455,155564919,128564919,476.16636666666665
222,Johnny English Reborn,151800000,2011-10-21,45000000,8406711,164640401,119640401,265.8675577777778
223,Final Destination 5,115300000,2011-08-12,40000000,42587643,155011165,115011165,287.5279125
224,Tower Heist,74900000,2011-11-04,85000000,78046570,150422946,65422946,76.96817176470589
225,Midnight in Paris,94300000,2011-05-20,30000000,56816662,162502774,132502774,441.67591333333337
226,Happy Feet Two,86400000,2011-11-18,135000000,64006466,157956466,22956466,17.00478962962963
227,Jack and Jill,75500000,2011-11-11,79000000,74158157,150519217,71519217,90.53065443037974
228,Friends with Benefits,93700000,2011-07-22,35000000,55802754,146595891,111595891,318.84540285714286
229,No Strings Attached,78600000,2011-01-21,25000000,70662220,149228078,124228078,496.912312
230,Arthur Christmas,101000000,2011-11-23,85000000,46462469,149717124,64717124,76.13779294117647
231,Source Code,92600000,2011-04-01,32000000,54712227,140428499,108428499,338.83905937500003
232,Contagion,59800000,2011-09-09,60000000,75658097,137551594,77551594,129.25265666666667
233,The Artist,88800000,2011-11-25,16000000,44667095,128256712,112256712,701.6044499999999
234,Unknown,67099999,2011-02-18,40000000,63686397,136123083,96123083,240.30770750000002
236,The Adjustment Bureau,65400000,2011-03-04,50200000,62495645,126931325,76731325,152.8512450199203
237,We Bought a Zoo,44500000,2011-12-23,50000000,75624550,118729073,68729073,137.458146
238,Water for Elephants,58400000,2011-04-22,38000000,58709717,116809717,78809717,207.39399210526318
239,The Iron Lady,84900000,2012-01-13,14000000,29959436,115592104,101592104,725.6578857142857
240,Moneyball,34600000,2011-09-23,50000000,75605492,111300835,61300835,122.60167
241,Sanctum,85400000,2011-02-04,30000000,23209310,108957098,78957098,263.1903266666667
242,Justin Bieber: Never Say Never,26000000,2011-02-11,13000000,73013910,99034125,86034125,661.8009615384615
243,Paul,60600000,2011-03-18,40000000,37412945,101162106,61162106,152.90526499999999
244,Scream 4,59000000,2011-04-15,40000000,38180928,95989590,55989590,139.973975
245,Insidious,43000000,2011-04-01,1500000,54009150,99870886,98370886,6558.059066666667
246,The Rite,63000000,2011-01-28,37000000,33047633,97143987,60143987,162.5513162162162
247,Dolphin Tale,23100000,2011-09-23,37000000,72286779,96068724,59068724,159.6452
248,Season of the Witch,66800000,2011-01-07,40000000,24827228,91126600,51126600,127.8165
249,Sucker Punch,53400000,2011-03-25,75000000,36392502,89758389,14758389,19.677852
250,Red Riding Hood,51500000,2011-03-11,42000000,37662162,91678442,49678442,118.28200476190476
251,Spy Kids: All the Time in the World,47000000,2011-08-19,27000000,38536376,80681183,53681183,198.8191962962963
252,J. Edgar,47600000,2011-11-09,35000000,37306030,84606030,49606030,141.7315142857143
253,Hall Pass,38100000,2011-02-25,68000000,45060734,87173475,19173475,28.19628676470588
254,"Big Mommas: Like Father, Like Son",44800000,2011-02-18,32000000,37915414,82332450,50332450,157.28890625
255,Abduction,54000000,2011-09-23,35000000,28087155,86648359,51648359,147.56674
256,Priest,49200000,2011-05-13,60000000,29136626,84154026,24154026,40.25671
257,The Mechanic,47000000,2011-01-28,42500000,29121498,76347393,33847393,79.64092470588236
258,The Ides of March,35000000,2011-10-07,23000000,40962534,77735925,54735925,237.98228260869564
259,The Change-Up,38400000,2011-08-05,52000000,37243418,75997067,23997067,46.14820576923077
260,The Lincoln Lawyer,17000000,2011-03-18,40000000,58009200,87145086,47145086,117.86271500000001
261,Diary of a Wimpy Kid: Rodrick Rules,19700000,2011-03-25,18000000,52698535,73695194,55695194,309.41774444444445
262,Larry Crowne,36400000,2011-07-01,30000000,35608245,61449135,31449135,104.83045
263,The Dilemma,21200000,2011-01-14,70000000,48475290,70546865,546865,0.7812357142857143
264,The Darkest Hour,43200000,2011-12-25,34800000,21443494,62831715,28031715,80.55090517241379
265,Hanna,23500000,2011-04-08,30000000,40259119,65343694,35343694,117.81231333333334
266,Colombiana,24300000,2011-08-26,40000000,36665854,72295262,32295262,80.738155
267,Something Borrowed,21100000,2011-05-06,35000000,39046489,65084116,30084116,85.95461714285715
268,One Day,45500000,2011-08-19,15000000,13843771,59168692,44168692,294.45794666666666
269,Killer Elite,31300000,2011-09-23,70000000,25124986,65409046,-4590954,-6.558505714285714
270,The Tree of Life,41000000,2011-05-27,35000000,13305665,61721826,26721826,76.34807428571429
271,Winnie the Pooh,23200000,2011-07-15,30000000,26692846,50145607,20145607,67.15202333333333
272,Soul Surfer,3200000,2011-04-08,18000000,43853424,47158652,29158652,161.9925111111111
273,The Debt,14500000,2011-08-31,20000000,31177548,46604054,26604054,133.02027
274,Beastly,15300000,2011-03-04,17000000,27865571,38028230,21028230,123.6954705882353
275,30 Minutes or Less,3500000,2011-08-12,28000000,37053924,40966716,12966716,46.3097
276,The Roommate,3200000,2011-02-04,16000000,37300107,52545707,36545707,228.41066875
277,Shark Night 3D,21300000,2011-09-02,25000000,18877153,18877153,-6122847,-24.491388
278,Monte Carlo,16500000,2011-07-01,20000000,23186769,39686769,19686769,98.43384499999999
279,50/50,4200000,2011-09-30,8000000,35016118,41334735,33334735,416.6841875
280,Mars Needs Moms,17600000,2011-03-11,150000000,21392758,39549758,-110450242,-73.63349466666666
281,Dream House,17200000,2011-09-30,50000000,21302340,41642166,-8357834,-16.715668
282,Jumping the Broom,415000,2011-05-06,7000000,37295394,38158601,31158601,445.12287142857144
283,Don't Be Afraid of the Dark,12900000,2011-08-26,25000000,24046682,39126427,14126427,56.505708
284,A Very Harold & Kumar 3D Christmas,326000,2011-11-04,20000000,35061031,36265745,16265745,81.328725
285,My Week with Marilyn,20500000,2011-11-23,10000000,14597405,34240572,24240572,242.40572
286,The Sitter,4500000,2011-12-09,25000000,30542576,38749404,13749404,54.99761600000001
287,Courageous,0,2011-09-30,2000000,34522221,35185884,33185884,1659.2942
288,I Don't Know How She Does It,20900000,2011-09-16,24000000,9659074,24474463,474463,1.9769291666666668
289,What's Your Number?,16399999,2011-09-30,20000000,14011084,30163785,10163785,50.81892500000001
290,Drive Angry,18200000,2011-02-25,50000000,10721033,41042583,-8957417,-17.914834
291,A Dangerous Method,21800000,2011-11-23,20000000,5702083,14807531,-5192469,-25.962345
292,The Eagle,7600000,2011-02-11,25000000,19490041,38993548,13993548,55.974192
293,Apollo 18,7900000,2011-09-02,5000000,17686929,26517819,21517819,430.35638
294,Biutiful,20000000,2011-01-28,35000000,5101237,24687524,-10312476,-29.46421714285714
295,Your Highness,3300000,2011-04-08,50000000,21596445,26121638,-23878362,-47.756724
296,Our Idiot Brother,0,2011-08-26,5000000,24814830,25861249,20861249,417.22498
297,The Rum Diary,10800000,2011-10-28,45000000,13109815,21544732,-23455268,-52.122817777777776
298,Warrior,9400000,2011-09-09,25000000,13657115,24215385,-784615,-3.13846
299,Young Adult,6600000,2011-12-09,12000000,16311571,22750356,10750356,89.5863
300,The Guard,14200000,2011-07-29,6000000,5359774,21197454,15197454,253.29090000000002
301,Margin Call,14200000,2011-10-21,3400000,5353586,20433227,17033227,500.9772647058823
302,Shame,13800000,2011-12-02,6500000,4002293,20412841,13912841,214.04370769230766
303,The Last Godfather,16600000,2011-04-01,13400000,164247,164247,-13235753,-98.77427611940298
304,Melancholia,12900000,2011-11-11,9400000,3030848,21817298,12417298,132.09891489361704
305,The Conspirator,3900000,2011-04-15,25000000,11538204,15907411,-9092589,-36.370356
306,Anonymous,10900000,2011-10-28,27500000,4463292,15815509,-11684491,-42.48905818181819
307,Beginners,8500000,2011-06-03,3200000,5790894,14314407,11114407,347.32521875
308,Snow Flower and the Secret Fan,10000000,2011-07-15,6000000,1348205,11348205,5348205,89.13674999999999
309,Le Havre,9900000,2011-10-21,5500000,611709,13480196,7980196,145.09447272727272
310,Prom,0,2011-04-29,8000000,10130219,10763183,2763183,34.5397875
311,Point Blank,8500000,1967-09-18,3000000,0,0,-3000000,-100.0
312,Winter in Wartime,8700000,2011-03-18,5800000,542860,9662214,3862214,66.58989655172414
313,The Big Year,244000,2011-10-14,41000000,7204138,7684524,-33315476,-81.25725853658537
314,The Beaver,6300000,2011-05-06,21000000,970816,5046038,-15953962,-75.97124761904762
315,Take Me Home Tonight,0,2011-03-04,19000000,6928068,7576604,-11423396,-60.12313684210526
