,foreign_gross,production_budget,net_profit,movie_title,domestic_gross,world_wide_gross_Profit,ROI
382,75500000.0,79000000.0,71519217.0,Jack and Jill,74158157.0,150519217.0,90.53065443037974
383,93700000.0,35000000.0,111595891.0,Friends with Benefits,55802754.0,146595891.0,318.84540285714286
384,78600000.0,25000000.0,124228078.0,No Strings Attached,70662220.0,149228078.0,496.912312
385,101000000.0,85000000.0,64717124.0,Arthur Christmas,46462469.0,149717124.0,76.13779294117647
386,92600000.0,32000000.0,108428499.0,Source Code,54712227.0,140428499.0,338.83905937500003
389,59800000.0,60000000.0,77551594.0,Contagion,75658097.0,137551594.0,129.25265666666667
390,88800000.0,16000000.0,112256712.0,The Artist,44667095.0,128256712.0,701.6044499999999
392,67099999.0,40000000.0,96123083.0,Unknown,63686397.0,136123083.0,240.30770750000002
393,67099999.0,3700000.0,-344952.0,Unknown,26403.0,3355048.0,-9.323027027027027
394,65400000.0,50200000.0,76731325.0,The Adjustment Bureau,62495645.0,126931325.0,152.8512450199203
395,44500000.0,50000000.0,68729073.0,We Bought a Zoo,75624550.0,118729073.0,137.458146
396,58400000.0,38000000.0,78809717.0,Water for Elephants,58709717.0,116809717.0,207.39399210526318
397,84900000.0,14000000.0,101592104.0,The Iron Lady,29959436.0,115592104.0,725.6578857142857
398,34600000.0,50000000.0,61300835.0,Moneyball,75605492.0,111300835.0,122.60167
399,85400000.0,30000000.0,78957098.0,Sanctum,23209310.0,108957098.0,263.1903266666667
400,26000000.0,13000000.0,86034125.0,Justin Bieber: Never Say Never,73013910.0,99034125.0,661.8009615384615
401,60600000.0,40000000.0,61162106.0,Paul,37412945.0,101162106.0,152.90526499999999
402,59000000.0,40000000.0,55989590.0,Scream 4,38180928.0,95989590.0,139.973975
403,43000000.0,1500000.0,98370886.0,Insidious,54009150.0,99870886.0,6558.059066666667
404,63000000.0,37000000.0,60143987.0,The Rite,33047633.0,97143987.0,162.5513162162162
405,23100000.0,37000000.0,59068724.0,Dolphin Tale,72286779.0,96068724.0,159.6452
406,66800000.0,40000000.0,51126600.0,Season of the Witch,24827228.0,91126600.0,127.8165
407,53400000.0,75000000.0,14758389.0,Sucker Punch,36392502.0,89758389.0,19.677852
408,51500000.0,42000000.0,49678442.0,Red Riding Hood,37662162.0,91678442.0,118.28200476190476
409,47000000.0,27000000.0,53681183.0,Spy Kids: All the Time in the World,38536376.0,80681183.0,198.8191962962963
410,47600000.0,35000000.0,49606030.0,J. Edgar,37306030.0,84606030.0,141.7315142857143
411,38100000.0,68000000.0,19173475.0,Hall Pass,45060734.0,87173475.0,28.19628676470588
412,44800000.0,32000000.0,50332450.0,"Big Mommas: Like Father, Like Son",37915414.0,82332450.0,157.28890625
413,54000000.0,35000000.0,51648359.0,Abduction,28087155.0,86648359.0,147.56674
415,49200000.0,60000000.0,24154026.0,Priest,29136626.0,84154026.0,40.25671
417,47000000.0,42500000.0,33847393.0,The Mechanic,29121498.0,76347393.0,79.64092470588236
418,35000000.0,23000000.0,54735925.0,The Ides of March,40962534.0,77735925.0,237.98228260869564
419,38400000.0,52000000.0,23997067.0,The Change-Up,37243418.0,75997067.0,46.14820576923077
420,17000000.0,40000000.0,47145086.0,The Lincoln Lawyer,58009200.0,87145086.0,117.86271500000001
421,19700000.0,18000000.0,55695194.0,Diary of a Wimpy Kid: Rodrick Rules,52698535.0,73695194.0,309.41774444444445
422,36400000.0,30000000.0,31449135.0,Larry Crowne,35608245.0,61449135.0,104.83045
423,21200000.0,70000000.0,546865.0,The Dilemma,48475290.0,70546865.0,0.7812357142857143
424,43200000.0,34800000.0,28031715.0,The Darkest Hour,21443494.0,62831715.0,80.55090517241379
425,23500000.0,30000000.0,35343694.0,Hanna,40259119.0,65343694.0,117.81231333333334
428,24300000.0,40000000.0,32295262.0,Colombiana,36665854.0,72295262.0,80.738155
429,21100000.0,35000000.0,30084116.0,Something Borrowed,39046489.0,65084116.0,85.95461714285715
430,45500000.0,15000000.0,44168692.0,One Day,13843771.0,59168692.0,294.45794666666666
432,31300000.0,70000000.0,-4590954.0,Killer Elite,25124986.0,65409046.0,-6.558505714285714
434,41000000.0,35000000.0,26721826.0,The Tree of Life,13305665.0,61721826.0,76.34807428571429
437,23200000.0,30000000.0,20145607.0,Winnie the Pooh,26692846.0,50145607.0,67.15202333333333
